race_id,row,col,exacta,exacta_reverse,quinella_place,verdict
2016-10-09_1_01,7,2,9999.9,9999.9,466.0,bet placed
2016-10-14_2_06,1,8,9999.9,4921.1,29.7,bet placed
2016-10-14_2_06,1,10,9999.9,9999.9,232.3,bet placed
2016-10-14_2_06,5,10,9999.9,8227.4,158.0,bet placed
2016-10-14_2_06,7,10,9999.9,2279.4,229.3,bet placed
2016-10-14_2_06,10,1,9999.9,9999.9,232.3,bet placed
2016-10-14_2_06,10,4,9999.9,7743.4,175.1,bet placed
2016-10-16_1_01,6,12,9999.9,7862.4,555.8,bet placed
2016-10-16_3_06,4,5,9999.9,2789.8,297.3,bet placed
2016-10-16_3_06,12,5,9999.9,8230.6,406.2,bet placed
2016-10-21_3_01,4,10,9999.9,9999.9,501.2,bet placed
2016-10-21_3_01,5,9,9999.9,9999.9,333.1,bet placed
2016-10-21_3_01,9,5,9999.9,9999.9,333.1,bet placed
2016-10-21_3_01,10,4,9999.9,9999.9,501.2,bet placed
2016-10-21_3_01,10,6,9999.9,8360.8,357.2,bet placed
2016-10-21_3_02,1,4,9999.9,6436.9,676.6,bet placed
2016-10-21_3_02,1,9,9999.9,8272.0,541.9,bet placed
2016-10-21_3_02,4,7,9999.9,9999.9,435.6,bet placed
2016-10-21_3_02,4,8,9999.9,9999.9,937.2,bet placed
2016-10-21_3_02,4,9,9999.9,9999.9,794.0,bet placed
2016-10-21_3_02,4,12,9999.9,9999.9,952.8,bet placed
2016-10-21_3_02,6,4,9999.9,5049.2,242.0,bet placed
2016-10-21_3_02,7,4,9999.9,9999.9,435.6,bet placed
2016-10-21_3_02,7,9,9999.9,9999.9,1020.9,bet placed
2016-10-21_3_02,8,4,9999.9,9999.9,937.2,bet placed
